Pair,HVT_capture,MARS,SourceReliablity
1,11.7130752,3.1365,1
2,11.67975589,3.5,1
3,15.67146665,2.7725,1
4,7.768342152,3.8635,1
5,24.89632436,3.0455,1
6,21.40975629,3.0455,1
7,11.25452341,3.7725,1
8,7.209231201,3.6365,1
9,15.11959615,3.909,1
10,7.961728395,3.182,1
11,12.26138568,2.6365,1
12,8.77025012,3.591,1
13,14.07035048,2.9545,1
14,16.54116763,2.727,1
15,15.32998005,2.6365,1
16,8.367308309,3.318,1
17,13.64094917,2.8635,1
18,6.547019801,3,1
19,12.13041203,3.5,1
20,8.669012007,3.318,1
21,11.85415171,3.909,1
22,7.639818823,4,1
23,15.51467052,3.1815,1
24,27.59573513,2.591,1
25,16.90371373,3.2725,1
26,16.66402116,2.3635,1
27,14.04817621,2.9545,1
28,9.573609107,3.0455,1
1,14.66,3.32,2
2,4.9,3.82,2
3,12.83,3.27,2
4,11.46,3.23,2
5,11.3,2.18,2
6,6.22,3.14,2
7,16.95,3.18,2
8,7.49,4,2
9,21.42,3.77,2
10,5.65,3.55,2
11,12.91,2.36,2
12,12.07,3.64,2
13,20.93,3.09,2
14,6.63,3.86,2
15,8.58,2.82,2
16,8.05,3.14,2
17,27.62,2.5,2
18,5.17,3.09,2
19,7.78,3.73,2
20,4.99,3.41,2
21,9.37,3.82,2
22,10.28,3.91,2
23,12.93,3.82,2
24,12.61,3.27,2
25,7.17,3.95,2
26,9.83,3.55,2
27,17.88,2.5,2
28,5.75,3.27,2
1,17.93,3.41,3
2,16.62,3.68,3
3,11.39,3,3
4,8.95,3.41,3
5,11.41,3.09,3
6,20.75,2.95,3
7,20.07,3.41,3
8,20.69,3.14,3
9,32.69,3.05,3
10,22.89,3.09,3
11,10.91,2.27,3
12,16.55,2.45,3
13,21.41,3.09,3
14,10.84,3.36,3
15,14.91,2.73,3
16,15.17,3.05,3
17,13.25,2.68,3
18,5.46,3.09,3
19,15.99,3,3
20,24.77,2.64,3
21,20.31,3.14,3
22,16.16,2.73,3
23,34.97,3.18,3
24,16.33,3.18,3
25,11.61,3.68,3
26,20.11,3,3
27,18.17,2.77,3
28,4.2,2.86,3
